id,title,category,description,image,price
1,Indio Solari pixel,,"Nuevo tapiz Pixel Indio Solari
Un homenaje tejido a mano al eterno poeta del rock.",/solari,2800
2,Lámpara Capri,,"¡Ilumina tu espacio!
Crea un juego de luces y sombras y disfruta de un encanto bohemio en cada momento. Fusiona el macramé con el diseño moderno en tus habitaciones.

Confeccionada con hilo de algodón.
En los colores y medidas que mejor se adapten a tu espacio.",/lampara,3500
3,Tapiz Cappuccino,,"Confeccionado con mezcla de algodón y fibra natural de Yute, el tapiz 𝐶𝑎𝑝𝑝𝑢𝑐𝑐𝑖𝑛𝑜 nace inspirado en los colores del delicioso café, dejando tu habitación con una frescura increíble, natural y única.",/tapizcappu,5300
4,Tapiz Roma,,"Transforma tu espacio con elegancia y estilo. Nuestro tapiz de macramé, tejido a mano con amor y cuidado, es la pieza perfecta para dar un toque bohemio a tu hogar. Cada nudo cuenta una historia de creatividad y artesanía. Descubre la magia del macramé y llena de amor tus rincones favoritos.

Si deseas alguna modificación o tienes algún enfoque específico en mente, no dudes en decírmelo, y con gusto te ayudaré a personalizarlo.

🧶Diseñado en hilo de algodón
🎨Color a elección",/tapizroma,2500
5,Chaplin pixel,,"Tapiz Pixel – Chaplin
Un homenaje en hilo al ícono del cine mudo. Este tapiz recrea con delicadeza y estilo la figura de Charlie Chaplin en versión pixelada, transmitiendo arte, historia y emoción en cada nudo. Perfecto para amantes del cine, el arte y los clásicos.

Tiempo de elaboración: 10 días hábiles a partir de la confirmación del pago.",/Chaplin,10500
6,Snoopy pixel,,"Tapiz Pixel – Snoopy
Un guiño nostálgico al tierno beagle que marcó generaciones.
Este tapiz de macramé combina el encanto de Snoopy con la técnica pixelada artesanal, creando una pieza divertida, tierna y única. Ideal para sumar personalidad y calidez a cualquier rincón.
El color del fondo lo elegís vos 🎨",/snoopy,3200
7,Tapiz Gerona,,"Hecho a mano con hilo de algodón, Verona combina tonos tierra, crudo y negro en un diseño en forma de U que aporta calidez y armonía. Ideal para realzar muros neutros con un toque natural y elegante.

Tiempo de entrega: 10 días hábiles una vez confirmado el pago.

Los colores los elegís vos 🎨",/tapizgerona,8000
8,Tapiz Verona,,"En color tostado realza los blancos, la madera y tus suculentas🌿

Podés pedirlo del color que mejor resalte tu espacio.",/tapizverona,4000
9,Tapiz Vitta,,"Para dejar tus paredes llenas de luz y calidez, dando un enfoque fino a tu espacio. El color crudo, del diseño inicial, da un resalte a la madera y los blancos del salón.

Algodón de buena calidad.",/tapizvitta,2800
10,Tapiz Stitch de la serie pixel,,"Cada nudo pixelado te acerca a tu personaje favorito.

¿ Cuál es el tuyo? Seguro lo podemos hacer 🩷",/tapizstitch,5300
