id,title,category,description,image,price
,Indio Solari pixel,Pixel,"Nuevo tapiz Pixel Indio Solari
Un homenaje tejido a mano al eterno poeta del rock.",/imagenes/solari/principal.webp,2800
,Lámpara Capri,Iluminarias,"¡Ilumina tu espacio!
Crea un juego de luces y sombras y disfruta de un encanto bohemio en cada momento. Fusiona el macramé con el diseño moderno en tus habitaciones.

Confeccionada con hilo de algodón.
En los colores y medidas que mejor se adapten a tu espacio.",/imagenes/lampara/principal.webp,3500
,Tapiz Cappuccino,Tapiz,"Confeccionado con mezcla de algodón y fibra natural de Yute, el tapiz 𝐶𝑎𝑝𝑝𝑢𝑐𝑐𝑖𝑛𝑜 nace inspirado en los colores del delicioso café, dejando tu habitación con una frescura increíble, natural y única.",/imagenes/tapizcappu/principal.webp,5300
,Tapiz Roma,Tapiz,"Transforma tu espacio con elegancia y estilo. Nuestro tapiz de macramé, tejido a mano con amor y cuidado, es la pieza perfecta para dar un toque bohemio a tu hogar. Cada nudo cuenta una historia de creatividad y artesanía. Descubre la magia del macramé y llena de amor tus rincones favoritos.

Si deseas alguna modificación o tienes algún enfoque específico en mente, no dudes en decírmelo, y con gusto te ayudaré a personalizarlo.


🧶Diseñado en hilo de algodón
🎨Color a elección",/imagenes/tapizroma/principal.webp,2500
,Chaplin pixel,Pixel,"Tapiz Pixel – Chaplin
Un homenaje en hilo al ícono del cine mudo. Este tapiz recrea con delicadeza y estilo la figura de Charlie Chaplin en versión pixelada, transmitiendo arte, historia y emoción en cada nudo. Perfecto para amantes del cine, el arte y los clásicos.

Tiempo de elaboración: 10 días hábiles a partir de la confirmación del pago.",/imagenes/chaplin/principal.webp,10500
,Snoopy pixel,Pixel,"Tapiz Pixel – Snoopy
Un guiño nostálgico al tierno beagle que marcó generaciones.
Este tapiz de macramé combina el encanto de Snoopy con la técnica pixelada artesanal, creando una pieza divertida, tierna y única. Ideal para sumar personalidad y calidez a cualquier rincón.
El color del fondo lo elegís vos 🎨",/imagenes/snoopy/principal.webp,3200
,Tapiz Gerona,Tapiz,"Hecho a mano con hilo de algodón, Verona combina tonos tierra, crudo y negro en un diseño en forma de U que aporta calidez y armonía. Ideal para realzar muros neutros con un toque natural y elegante.

Tiempo de entrega: 10 días hábiles una vez confirmado el pago.

Los colores los elegís vos 🎨",/imagenes/tapizgerona/principal.webp,8000
,Tapiz Verona,Tapiz,"En color tostado realza los blancos, la madera y tus suculentas🌿

Podés pedirlo del color que mejor resalte tu espacio.",/imagenes/tapizverona/principal.webp,4000
,Tapiz Vitta,Tapiz,"Para dejar tus paredes llenas de luz y calidez, dando un enfoque fino a tu espacio. El color crudo, del diseño inicial, da un resalte a la madera y los blancos del salón.

Algodón de buena calidad.",/imagenes/tapizvitta/principal.webp,2800
,Tapiz Stitch de la serie pixel,Pixel,"Cada nudo pixelado te acerca a tu personaje favorito.

¿ Cuál es el tuyo? Seguro lo podemos hacer 🩷",/imagenes/tapizstitch/principal.webp,5300
,Caledonia,Tapiz,"Tapiz “Caledonia”

Una pieza de diseño sobria y elegante que combina texturas naturales con líneas simples. El semicírculo de madera de roble (o similar de excelente calidad) aporta calidez, mientras que los flecos en tonos neutros con un detalle central profundo crean movimiento y contraste. Ideal para dar carácter a livings, dormitorios o espacios de trabajo.

Características:

Base de madera de roble o similar.

Puede pintarse del tono que elijas.

Flecos de algodón en colores neutros con detalles en contraste.

El precio es por la medida de 90 cm de diámetro. Medidas y colores personalizables. ¡Cotizamos según tus necesidades!


Hecho a mano con dedicación. Tiempo de entrega: 15 días hábiles desde el pago.

¿Ya imaginaste dónde lo vas a colgar?",/imagenes/caledonia/principal.webp,9000
,Dakota,Prendedores,"Dejá entrar la luz, corré las cortinas y que el sol pinte tu casa. Los prendedores Dakota combinan funcionalidad con estilo, sosteniendo tus cortinas con un diseño cálido y natural.

Características:

Hechos 100% a mano con técnicas de macramé.

Se pueden realizar en los colores que elijas.

Ideales para aportar un detalle boho y artesanal a tus ambientes.

Consultanos por medidas y tonalidades.

El precio es por par.


Hechos con amor. Entrega en 10 días hábiles desde la confirmación del pago.
¿Ya pensaste qué rincón va a iluminar?",/imagenes/dakota/principal.webp,900
,Hamaca Jamaica,Hamaca,"Comodidad y estilo para los más mimados de la casa 🐕🐶🐱🐈

Jamaica es una hamaca artesanal ideal para gatos o perros pequeños, hecha con materiales resistentes y suaves al tacto. El almohadón va de regalo y, junto al pompón decorativo, se puede elegir en el color que más te guste.

Entrega: 10 días hábiles desde el pago",/imagenes/hamacajamaica/principal.webp,4000
,Harry Potter pixel,Pixel,"Pixel – Harry Potter

Un guiño mágico para fanáticos del mundo encantado. Este tapiz de la serie Pixel representa a personajes icónicos de Harry Potter con un diseño divertido y lleno de nostalgia. Ideal para sumar un toque único y hechizante a cualquier rincón.

Características:

Hecho 100% a mano con técnicas de macramé y nudos decorativos.

Diseño plano estilo pixelado.

Consultanos por medidas y tonalidades.


Hecho con amor. Entrega en 10 días hábiles desde la confirmación del pago.
¿Ya sabés en qué rincón vas a invocar un poco de magia?",/imagenes/harrypotter/principal.webp,5300
,Hoja Malta,Tapiz,"Tapiz Malta

Malta es una pieza que conecta con lo orgánico y lo artesanal. Hojas tejidas en macramé con nudos decorativos cuelgan sobre un tronco natural, creando un diseño liviano, rústico y con mucha presencia. Perfecto para sumar textura y calidez a tus espacios.

Características:

Hecho 100% a mano con técnicas de macramé.

Montado sobre tronco natural seleccionado.

Se realiza en los colores que elijas.

Consultanos por medidas y tonalidades.


Hecho con amor. Entrega en 10 días hábiles desde la confirmación del pago.
¿Dónde te imaginás colgando el tuyo?",/imagenes/hojamalta/principal.webp,2200
,India,Macrame,"Espejo de macramé

Una pieza artesanal que refleja mucho más que tu imagen. Nuestro espejo con marco tejido en macramé es ideal para sumar calidez y personalidad a cualquier espacio. Su diseño bohemio y versátil lo convierte en un must decorativo.

Características:

Tejido artesanal en macramé.

Se realiza en los colores que elijas.

Aporta textura, luz y un toque natural a tu ambiente.

Consultanos por medidas y tonalidades. El precio es por un espejo de 35 cm de diámetro más 15 de tejido. Total 50 cm de diámetro

Entrega en 10 días hábiles desde la confirmación del pago.

¿Dónde lo vas a lucir vos?",/imagenes/espejomacrame/principal.webp,3000
,Sería Nepal y Alpina,Macrame,"Posa Platos y Posa Vasos

Dale un toque rústico y natural a tu mesa 🤍

Materiales: Yute o cordón crudo.

Base: Forrados en ecocuero para mayor higiene y fácil limpieza.

Presentación: Pack de 4 posa vasos y 4 posa platos.

Entrega: 10 días hábiles desde el pago.

Personalización: Cotizamos según la cantidad que necesites.

¿Ya pensaste con cuál vas a disfrutar de tu mesa?",/imagenes/serianepalalpina/principal.webp,2900
,Tapiz Hojas Zenit,Tapiz,"Hojas Zenit
Tapiz artesanal con hojas de macramé en tonos tierra, crudo y mostaza, que evocan la calidez del otoño. Ideal para sumar textura y un aire natural a tus espacios.

Podés elegir el color vos 🎨

Si queres otra cantidad de hojas contanos y te cotizamos 🍂

Entrega: 10 días hábiles desde el pago.",/imagenes/tapizhojaszenit/principal.webp,5000
,Toscana,Macrame,"¿Ya tenés tu espejo Toscana?

El precio es por un diámetro de 45 cm aproximadamente contando el tejido.

Cotizamos por la medida que prefieras y necesites. Y el color lo elegís vos.

Una vez abonado, te lo diseñamos y entregamos en 10 días hábiles.

Mientras te decidís dónde colgarlo, te ayudo a pensarlo mejor ☺️

Consejitos sobre como y donde colocar tu espejo según el Feng Shui 🌸

Entrada▪️

Los lugares más recomendados para colgar tus espejos están en tu recibidor o la entrada de tu casa ya que esto ayuda para activar el Chi. Recordá que es importante que no esté directamente frente a la puerta, porque refleja el exterior.

Puertas y Ventanas▪️

Nunca frente a las puertas
Para empezar, los espejos nunca deben reflejar las puertas ya que hará que la energía se fugue a través de ella, pero si no tienes más remedio asegúrate de mantener siempre cerrada esa puerta. También evita colocar los espejos frente a las ventanas.

Dormitorio▪️

En la habitación pero no frente a la cama.
Los espejos dentro de la habitación pueden ser muy
convenientes, pero hay que tener cuidado de no ponerlos directamente frente a la cama ya que los espejos estimulan y hacen fluir el Chi de manera directa. Esto significa que pueden atraer al dormitorio una excesiva cantidad de energía que se está retroalimentando toda la noche y es posible que no se pueda descansar bien.

Espejos juntos▪️

Evitar colocar varios espejos juntos.
Si piensas llenar un espacio grande con espejos, lo más conveniente es optar por un espejo grande ya que si se colocan muchos juntos los reflejos múltiples podrían causar desorientación de la energía en el hogar.

Espejos rotos▪️

Adiós a los espejos rotos o viejos.
Aunque los espejos viejos pueden verse estilizados en algunas ocasiones, siempre procura decorar con espejos nuevos o en excelentes condiciones, ya que los espejos fragmentados, muy antiguos o rotos pueden desdibujar y deformar la imagen y según el Feng Shui, los espejos deben reflejar las imágenes de forma clara y nítida.

Mantener el orden▪️

Evitar el desorden siempre.
Finalmente, es muy importante que los espejos que se coloquen dentro del hogar nunca reflejan zonas
desordenadas, ya que el principio básico de los espejos es que reflejan y potencian todo lo que está frente a ellos. Asi que si quieres un hogar tranquilo, organizado y en paz, asegúrate de direccionar los espejos hacia lo que quieres multiplicar dentro de tu hogar.

Les mando un beso 💋",/imagenes/macrametoscana/principal.webp,2500
